source,source_regex_override,change_to
ok,,okay
item,,eyetem
items,,eyetems
purpose,,purpuhs
purposes,,purpuhses
hour,,ou-r
hours,,ou-rs
schedule,,schejule
deny,,deni
discipline,,disciplin
punish,,pun-ish
armbinder,,arm-bynder
unreliable,,unreliable
juice,,juce
juices,,juces
clothes,,cloethz
clothing,,klowthing
taste,,tayste
tastes,,taystes
steak,,stake
steaks,,stakes
slave,,slayv
slavery,,slayvry
livestock,,lyve-stock
compliant,,compli-ant
comply,,compli
inequality,,in-equality
breast,,brest
breasts,,brests
naked,,naykid
headache,,headake
ache,,ake
behave,,behayv
behaving,,behayving
group,,groop
brothel,,broth-el
blowjob,,blow-job
read,,reed
license,,lysens
dibella,,dib-ella
Fasta,,Fahstuh
tome,,tohm
tomes,,tohms
lose,,loo-z
Tlatha,,Tlahthuh
woman,,womin
what am I,,what-am-I
jarl,,yarl
steward,,stew-erd
Kella.,,Kell-a .
live,,liv
lives,,livs
intriguing,,intreeg-ing
intrigues,,intreegs
intrigue,,intreeg
consider,,considder
though,,thow
ambasssadors,,ambasuhders
ambasssador,,ambasuhder
pawed,,paw-d
slut,,slutt
beggar,,begger
beggars,,beggers
client,,clie-nt
clie-nts,,clie-nts
Siarra,,Sierra
suggest,,sujjest
suggesting,,sujjesting
madam,,madum
Duerra,,Duaira
bathed,,baythd
intimate,,intimit
jealousy,,jeluhsy
conquered,,kongkerd
conquer,,kongker
staring,,stare-ing
ass,,ahss
Elisif,,Elis-if
infuriate,,infuri-ate
routine,,rooteen
Janilla,,Juh-nil-a
honestly,,honest-lee
harlots,,harluts
compliment,,comp-liment
genuine,,jenyooin
guileless,,gile-less
wives,,whyves
wreath,,reeth
would,,wouldd
unorthodox,,un-orthodox
sexual,,secksual
terror,,terrer
bigotry,,bigutry
Aia,,Eye-a
conscience,,konshens
marriage,,meridge
Intius Dinora,,In-tius Din-ora
Uriel Septim VII,,Uriel Septim the seventh
indelicate,,indelikit
delicate,,delikit
reputation,,repyu-tation
decided,,deci-ded
Jessa Matius,,Jessa Ma-tee-us
Frida,,Freeda
rowed,,rode
deliberate,,deliberit
perform,,perf-orm
incredible,,incre-dible
proposal,,propose-al
delicate,,delickit
nature,,nayture
discretion,,diskrehsion
allow,,allau
Nords,,N-ord
Nord,,N-ord
reanimate,,re-animate
meant,,ment
womb,,wo-mb
endeavor,,in-dever
discomfort,,diskumfert
believe,,beleev
thi-,,thi
unpleasant,,unplehsant
liar,,lyer
kidnapped,,kidnap-d
kidnaped,,kidnap-d
entertain,,entertayn
Nazeem,,Na-zeem
consciences,,konshenses
Endon,,Endahn
private,,pryvet
like,,lyke
shoulder,,sho-der
priestesses,,preestesses
heavy,,hevy
says,,sez
sacred,,say-krid
closed,,klowzd
it's,,its
commune,,comyune
Sybil,,Sib-ihl
Fjorta,,Fiotra
Rudhiir,,Rudeer
bastard,,basterd
Keerava,,Keerah-va
reacts,,re-acts
alternative,,al-ternative
penis,,peenis
taster,,tayster
Elyssa,,Elissa
flavors,,flayvers
slimy,,slymee
medium,,meadium
medium-bodied,,meadium-bodied
variety,,va-raiity
cum,,cumm
Karita,,Ka-reeta
Jagar,,Yaygar
listen,,lisen
island,,eyeland
disobey,,disobay
pitied,,pity-d
lies,,lie-s